Timestamp,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (1)2024,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (2)2022,Central Plant Chiller 2 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 2 Chiller Efficiency (kW/ton) (2),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (2),Central Plant CHW Plant Chilled Water Efficiency (C) (1),Central Plant CHW Plant Chilled Water Efficiency (C) (2),Central Plant CHW Plant Chilled Water Tons of Refrigeration (1),Central Plant CHW Plant Chilled Water Tons of Refrigeration (2),Central Plant CHW Plant Chiller Stage (1),Central Plant CHW Plant Chiller Stage (2),Central Plant CHW Plant Outside Air Temp (1),Central Plant CHW Plant Outside Air Temp (2),Central Plant CHW Plant Total Power (1),Central Plant CHW Plant Total Power (2),Central Plant Condenser Loop Wet Bulb Temp (1),Central Plant Condenser Loop Wet Bulb Temp (2)
2024-01-01T00:00:00-08:00 Los_Angeles,0_kW/Ton,1.3596493403116863_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.2990107575371414kW/ton,1.9501575032869976_Ton,23.908552487691242_Ton,AAAA,AAAB,53.333936055501304°F,49.59770075480143°F,17.395591735839844kW,78.71357727050781kW,50.519453048706055°F,47.31265195210775°F
2024-01-01T01:00:00-08:00 Los_Angeles,0_kW/Ton,1.1398620903491974_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.7162636528559018kW/ton,1.651124748090903_Ton,28.37607987721761_Ton,AAAA,AAAB,52.1235466003418°F,48.55739657084147°F,17.396358489990234kW,75.71318054199219kW,49.75970904032389°F,46.62036577860514°F
2024-01-01T02:00:00-08:00 Los_Angeles,0_kW/Ton,1.15005957086881_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.28740403518621205kW/ton,1.4207238803307216_Ton,29.263068199157715_Ton,AAAA,AAAB,51.489602406819664°F,48.3795051574707°F,17.408414840698242kW,77.22756958007812kW,48.90092023213705°F,46.40272331237793°F
2024-01-01T03:00:00-08:00 Los_Angeles,0_kW/Ton,1.1817961434523265_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.1542819142341614_Ton,24.915573755900066_Ton,AAAA,AAAB,50.513930002848305°F,48.84029579162598°F,17.3929443359375kW,68.9686050415039kW,48.121908823649086°F,46.696471532185875°F
2024-01-01T04:00:00-08:00 Los_Angeles,0_kW/Ton,0.8587031761805216_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.066935775199543kW/ton,1.473644196987152_Ton,58.944583574930824_Ton,AAAA,AAAB,50.77654266357422°F,47.95372454325358°F,17.40163230895996kW,94.1605224609375kW,47.56696701049805°F,45.53384526570638°F
2024-01-01T05:00:00-08:00 Los_Angeles,0_kW/Ton,0.6881040831406912_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.2082403918980742kW/ton,1.461387316385905_Ton,68.87071863810222_Ton,AAAA,AAAB,50.623322168986°F,48.11094347635905°F,17.40216064453125kW,91.54911804199219kW,46.90747261047363°F,43.25460688273112°F
2024-01-01T06:00:00-08:00 Los_Angeles,0_kW/Ton,0.7606149911880493_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.3227592252498kW/ton,1.4849783405661583_Ton,66.04191335042317_Ton,AAAA,AAAB,49.74228159586588°F,47.38137626647949°F,17.390188217163086kW,99.00474548339844kW,46.0609188079834°F,42.4721253712972°F
2024-01-01T07:00:00-08:00 Los_Angeles,0_kW/Ton,1.0317880908648174_kW/Ton,0_kW/Ton,0_kW/Ton,0.3094359536965688_kW/Ton,0_kW/Ton,0.4177463050281012kW/ton,1.7512873322916926kW/ton,211.2061217650771_Ton,48.01272964477539_Ton,AAAAAAAB,AAAB,50.33546574910482°F,47.179056803385414°F,172.19407653808594kW,87.1122055053711kW,46.00487454732259°F,42.474892934163414°F
2024-01-01T08:00:00-08:00 Los_Angeles,0_kW/Ton,1.1354796489079793_kW/Ton,0_kW/Ton,0_kW/Ton,0.4185084154208501_kW/Ton,0_kW/Ton,0.6361677273781274kW/ton,1.9880022397855341kW/ton,145.5554402669271_Ton,42.138342221577965_Ton,AAAB,AAAB,51.8509464263916°F,48.63429578145345°F,101.36477661132812kW,96.19979095458984kW,46.58388455708822°F,43.63723945617676°F
2024-01-01T09:00:00-08:00 Los_Angeles,0_kW/Ton,1.0743538737297058_kW/Ton,0_kW/Ton,0_kW/Ton,0.41302306453386944_kW/Ton,0_kW/Ton,0.6400770376725213kW/ton,2.0277940924861038kW/ton,162.24021657307944_Ton,40.080793380737305_Ton,AAAB,AAAB,56.43531735738119°F,51.88935979207357°F,111.25946044921875kW,87.32862854003906kW,48.63392448425293°F,45.94554583231608°F
2024-01-01T10:00:00-08:00 Los_Angeles,0_kW/Ton,0.9640625317891439_kW/Ton,0_kW/Ton,0_kW/Ton,0.4855571885903676_kW/Ton,0_kW/Ton,0.8190632780862267kW/ton,1.8111664675612096kW/ton,120.26834106445312_Ton,44.37074406941732_Ton,AAAB,AAAB,61.051801681518555°F,55.56159528096517°F,100.71238708496094kW,89.73274230957031kW,49.933593114217125°F,47.99935976664225°F
2024-01-01T11:00:00-08:00 Los_Angeles,0_kW/Ton,0.8312660853068033_kW/Ton,0_kW/Ton,0_kW/Ton,0.7772142787774404_kW/Ton,0_kW/Ton,1.5251260141910645kW/ton,1.7158368647661517kW/ton,68.42172114054362_Ton,48.2517032623291_Ton,AAAB,AAAB,63.704349517822266°F,59.415645599365234°F,100.11182403564453kW,83.16485595703125kW,50.53086916605631°F,49.7257932027181°F
2024-01-01T12:00:00-08:00 Los_Angeles,0_kW/Ton,0.7778384486834208_kW/Ton,0_kW/Ton,0_kW/Ton,0.7802626589934031_kW/Ton,0_kW/Ton,1.5654234304633896kW/ton,1.5941831340832804kW/ton,59.16954358418783_Ton,53.01896858215332_Ton,AAAB,AAAB,66.63179524739583°F,60.628159840901695°F,94.88751983642578kW,85.84040069580078kW,50.826524098714195°F,49.5463498433431°F
2024-01-01T13:00:00-08:00 Los_Angeles,0_kW/Ton,0.7250990867614746_kW/Ton,0_kW/Ton,0_kW/Ton,0.6211248338222504_kW/Ton,0_kW/Ton,1.1759523518991064kW/ton,1.4275449383072802kW/ton,81.16679000854492_Ton,61.44206428527832_Ton,AAAB,AAAB,67.19249725341797°F,60.90218607584635°F,103.4720458984375kW,89.72600555419922kW,50.99078687032064°F,48.34092775980631°F
2024-01-01T14:00:00-08:00 Los_Angeles,0_kW/Ton,0.6437047322591146_kW/Ton,0_kW/Ton,0_kW/Ton,0.4747855216264725_kW/Ton,0_kW/Ton,0.9492050125909426kW/ton,1.2060533531631956kW/ton,124.66568247477214_Ton,73.61802228291829_Ton,AAAB,AAAB,66.54173151652019°F,61.465898513793945°F,126.1490478515625kW,89.39085388183594kW,50.51488812764486°F,47.65693791707357°F
2024-01-01T15:00:00-08:00 Los_Angeles,0_kW/Ton,0.6775728364785513_kW/Ton,0_kW/Ton,0_kW/Ton,0.5304310272137324_kW/Ton,0_kW/Ton,1.1171260090682325kW/ton,1.315685270044473kW/ton,109.13368352254231_Ton,67.00811767578125_Ton,AAAB,AAAB,65.87543614705403°F,60.31616719563802°F,132.49411010742188kW,88.26666259765625kW,50.880968729654946°F,48.82380294799805°F
2024-01-01T16:00:00-08:00 Los_Angeles,0_kW/Ton,0.6955270369847616_kW/Ton,0_kW/Ton,0_kW/Ton,0.6330898205439249_kW/Ton,0_kW/Ton,1.5666345287888996kW/ton,1.3467486550213594kW/ton,82.77771504720052_Ton,63.06187502543131_Ton,AAAB,AAAB,63.80677159627279°F,58.63547579447428°F,134.59515380859375kW,87.57804870605469kW,51.491373697916664°F,48.09907531738281°F
2024-01-01T17:00:00-08:00 Los_Angeles,0_kW/Ton,0.7659533520539602_kW/Ton,0_kW/Ton,0_kW/Ton,0.7536241213480631_kW/Ton,0_kW/Ton,2.025509313779411kW/ton,1.5405704849447746kW/ton,61.51316833496094_Ton,53.013811111450195_Ton,AAAB,AAAB,60.52586110432943°F,55.31643295288086°F,128.4100799560547kW,83.11591339111328kW,51.61608759562174°F,47.594139099121094°F
